frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
81,3.240,1.319588,3.252512,2.704125,10.314623,1.993750,2.704125,10.314623,1.677948,0.039097,10.816499,1.847029,0.711810
82,3.280,1.998612,4.682708,3.337916,5.984906,1.283929,3.337916,5.984906,3.151507,0.023465,13.351665,1.382316,1.122154
83,3.320,1.948454,4.007668,2.619778,5.587264,1.234821,2.619778,5.587264,2.823374,0.045238,10.479112,0.876931,0.657201
84,3.360,1.485329,2.729773,1.642253,4.823113,0.780804,1.642253,4.823113,1.727201,0.024893,6.569011,0.721778,0.024309
85,3.400,0.686558,1.491010,1.084347,4.729245,0.558482,1.084347,4.729245,1.630354,0.009524,4.337388,0.645915,-0.336903
86,3.440,0.268438,0.855632,0.525912,3.216038,0.429018,0.525912,3.216038,0.603913,0.018013,2.103649,0.470769,-0.698457
87,3.480,0.185171,0.600476,0.444209,2.275472,0.330357,0.444209,2.275472,0.681386,0.020969,1.776838,0.691216,-0.751355
88,3.520,0.203807,0.564781,0.380222,1.472170,0.396429,0.396429,1.472170,0.569643,0.019787,1.585714,0.633764,-0.782291
89,3.560,0.099524,0.212057,0.174775,1.021698,0.353125,0.212057,1.021698,0.370174,0.011806,0.848228,0.424114,-0.901661
90,3.600,0.096749,0.216816,0.217874,1.019340,0.331250,0.217874,1.019340,0.361713,0.010690,0.871497,0.435748,-0.897894
91,3.640,0.090999,0.362771,0.218667,0.901887,0.276339,0.276339,0.901887,0.284241,0.008736,1.105357,0.552679,-0.860042
92,3.680,0.082871,0.325754,0.251983,0.915094,0.331696,0.325754,0.915094,0.406928,0.006650,1.303014,0.651507,-0.828049
93,3.720,0.097542,0.137758,0.240349,0.267453,0.106250,0.137758,0.267453,0.218932,0.006716,0.551031,0.275516,-0.949765
94,3.760,0.100912,0.184558,0.203067,0.123113,0.070982,0.123113,0.203067,0.153302,0.006568,0.492453,0.246226,-0.959247
95,3.800,0.106860,0.420412,0.203860,0.100000,0.100000,0.106860,0.420412,0.096875,0.010411,0.427439,0.213719,-0.969770
96,3.840,0.130254,0.795082,0.652300,0.232075,0.131696,0.232075,0.795082,0.177358,0.006059,0.928302,0.464151,-0.888700
97,3.880,0.137986,2.850344,2.666314,0.591038,0.087946,0.591038,2.850344,0.368868,0.009770,2.364151,1.182076,-0.656292
98,3.920,0.407415,2.654151,2.852195,1.970755,0.493304,1.970755,2.852195,0.710849,0.006453,7.883019,3.650503,0.236995
99,3.960,1.017248,2.902433,3.059228,2.929245,0.755357,2.902433,3.059228,1.106293,0.015484,11.609731,3.194503,0.840203
100,4.000,1.666931,3.968800,3.891327,3.307076,0.908929,3.307076,3.968800,3.022210,0.023826,13.228302,1.602070,1.102186
101,4.040,2.011499,4.533051,4.056848,3.183962,0.833482,3.183962,4.533051,2.420283,0.014811,12.735849,1.170038,1.022478
102,4.080,2.456979,5.361449,4.790323,5.202359,1.260714,4.790323,5.361449,3.121364,0.013481,19.161291,1.728844,2.062504
103,4.120,2.882038,6.441037,5.566103,7.666981,1.189286,5.566103,7.666981,3.791116,0.014598,22.264410,1.610450,2.564777
104,4.160,3.267843,7.682443,6.064252,9.952830,1.537500,6.064252,9.952830,3.993654,0.019507,24.257008,1.557978,2.887300
105,4.200,2.944885,7.561608,5.818879,8.948585,1.792857,5.818879,8.948585,4.701745,0.011987,23.275517,1.338381,2.728435
106,4.240,2.405234,5.951084,4.576150,5.435849,1.498214,4.576150,5.951084,3.773929,0.017865,18.304602,1.079832,1.923839
107,4.280,2.345361,5.791909,4.346906,5.136321,1.602232,4.346906,5.791909,3.331042,0.010985,17.387625,1.223624,1.775417
108,4.320,1.934179,5.184558,3.024326,4.075472,1.105357,3.024326,5.184558,3.214437,0.024598,12.097303,0.924096,0.919122
109,4.360,1.065821,3.576679,1.839239,2.142925,0.705804,1.839239,3.576679,2.487308,0.011149,7.356954,0.645149,0.151846
110,4.400,0.362411,2.719196,1.609466,2.924057,0.814732,1.609466,2.924057,1.989424,0.017915,6.437863,0.719036,0.003081
111,4.440,0.117565,2.306716,0.720518,6.680189,2.187054,2.187054,6.680189,1.158929,0.007044,8.748215,1.389332,0.377036
112,4.480,0.252379,1.453199,0.523004,9.975471,2.662054,1.453199,9.975471,1.155209,0.006782,5.812798,1.255932,-0.098092
113,4.520,0.211935,1.770756,0.527763,8.736793,2.575893,1.770756,8.736793,1.423850,0.003695,7.083025,1.373180,0.107508
114,4.560,0.436162,2.421206,0.655738,10.697170,2.274107,2.274107,10.697170,0.847435,0.001806,9.096429,2.002485,0.433399
115,4.600,0.420103,1.814119,0.805658,7.162736,2.183928,1.814119,7.162736,2.201339,0.006273,7.256478,1.190065,0.135583
116,4.640,0.199048,1.203596,0.439186,4.793868,1.656250,1.203596,4.793868,2.027499,0.004598,4.814384,0.569233,-0.259696
117,4.680,0.141554,0.492597,0.346906,1.283962,0.621875,0.492597,1.283962,0.918304,0.008292,1.970386,0.334440,-0.720027
118,4.720,0.194092,0.410100,0.280275,0.606604,0.142411,0.280275,0.606604,0.382435,0.018374,1.121100,0.430948,-0.857493
119,4.760,0.138580,0.445267,0.351930,0.550000,0.172768,0.351930,0.550000,0.438921,0.014680,1.407721,0.703860,-0.811101
120,4.800,0.104481,0.853517,0.327869,1.375943,0.567411,0.567411,1.375943,0.353774,0.014401,2.269643,1.134821,-0.671590
121,4.840,0.075535,0.507668,0.165256,1.120283,0.417857,0.417857,1.120283,0.612946,0.012315,1.671429,0.835714,-0.768417
122,4.880,0.109040,0.607879,0.240085,1.144340,0.428125,0.428125,1.144340,0.649554,0.007504,1.712500,0.678218,-0.761769
123,4.920,0.106860,0.513485,0.356954,0.434434,0.216518,0.356954,0.513485,0.378371,0.009130,1.427816,0.694514,-0.807848
124,4.960,0.162768,0.607615,0.308567,0.843868,0.200893,0.308567,0.843868,0.413273,0.024433,1.234268,0.617134,-0.839176
125,5.000,0.161182,1.362507,0.374405,2.533019,0.250000,0.374405,2.533019,0.368852,0.018489,1.497620,0.748810,-0.796550
126,5.040,0.131047,1.974088,0.674511,3.086321,0.652232,0.674511,3.086321,0.677684,0.015452,2.698043,1.289035,-0.602248
127,5.080,0.112807,1.856425,0.744580,2.842925,0.647768,0.744580,2.842925,1.357218,0.011396,2.978318,0.731809,-0.556883
128,5.120,0.132038,0.945267,0.516129,1.226887,0.308036,0.516129,1.226887,1.083554,0.012200,2.064516,0.422923,-0.704791
129,5.160,0.138580,0.471444,0.305394,0.419340,0.114732,0.305394,0.471444,0.560550,0.007997,1.221576,0.371502,-0.841230
130,5.200,0.177042,0.480962,0.295346,1.001887,0.701786,0.480962,1.001887,0.325754,0.009787,1.923850,0.961925,-0.727560
131,5.240,0.135408,2.842676,2.048651,3.900943,2.080804,2.080804,3.900943,1.041964,0.008309,8.323215,3.042738,0.308246
132,5.280,0.119151,4.098361,2.954786,4.636321,2.336161,2.954786,4.636321,3.185268,0.012479,11.819143,1.397977,0.874099
133,5.320,0.117764,4.105764,3.129826,2.176887,1.010714,2.176887,4.105764,2.544421,0.014039,8.707547,0.759862,0.370454
134,5.360,0.466098,3.612639,2.156002,4.895755,0.945536,2.156002,4.895755,1.149127,0.002923,8.624008,1.167442,0.356932
135,5.400,0.869350,4.767055,3.124537,9.166981,2.092857,3.124537,9.166981,2.214172,0.004877,12.498149,1.858019,0.984003
136,5.440,1.000991,3.836859,2.525648,8.959434,2.268750,2.525648,8.959434,2.507139,0.003399,10.102592,1.069893,0.596257
137,5.480,0.664750,2.465098,1.210206,5.681604,1.372321,1.372321,5.681604,1.363679,0.004171,5.489286,0.709060,-0.150456
138,5.520,0.206582,1.888419,1.071391,4.020755,1.636607,1.636607,4.020755,1.417768,0.003695,6.546429,1.176802,0.020654
139,5.560,0.224029,1.885246,1.811211,4.486321,1.245536,1.811211,4.486321,1.716023,0.003974,7.244844,1.155923,0.133700
140,5.600,0.484734,2.059492,2.103913,5.233490,1.309821,2.059492,5.233490,2.127446,0.008030,8.237969,1.071684,0.294448
141,5.640,0.649485,1.910629,1.872554,4.137736,0.972768,1.872554,4.137736,2.254627,0.004319,7.490217,0.854643,0.173416
142,5.680,0.911975,2.298255,1.713115,2.741981,0.485714,1.713115,2.741981,1.915389,0.002759,6.852459,0.821635,0.070188
143,5.720,1.504560,3.554733,2.227657,3.735849,0.169196,2.227657,3.735849,2.066896,0.012726,8.910629,1.118784,0.403325
144,5.760,1.575139,3.950820,2.055791,5.392924,0.289286,2.055791,5.392924,2.650714,0.019787,8.223163,0.871539,0.292051
145,5.800,1.093973,2.627710,1.103384,4.917924,0.367857,1.103384,4.917924,1.739556,0.017455,4.413538,0.502650,-0.324577
146,5.840,0.868755,1.717610,0.579323,1.712264,0.466518,0.868755,1.717610,1.217090,0.023580,3.475020,0.587663,-0.476486
147,5.880,0.509318,1.224484,0.381280,2.363679,0.820089,0.820089,2.363679,0.957430,0.016782,3.280357,0.754272,-0.507995
148,5.920,0.363204,0.919619,0.470650,0.649528,0.146875,0.470650,0.919619,0.895558,0.020345,1.882602,0.507991,-0.734236
149,5.960,0.188739,0.537546,0.274722,1.137736,0.141071,0.274722,1.137736,0.387890,0.036125,1.098889,0.428101,-0.861088
150,6.000,0.127875,0.749868,0.304336,1.425000,0.317857,0.317857,1.425000,0.311211,0.026355,1.271429,0.635714,-0.833161
151,6.040,0.041039,0.730301,0.184558,2.066509,0.192411,0.192411,2.066509,0.329018,0.012118,0.769643,0.384821,-0.914381
152,6.080,0.065028,0.627710,0.202803,1.317924,0.220536,0.220536,1.317924,0.339732,0.011938,0.882143,0.441071,-0.896171
153,6.120,0.040841,0.338181,0.243522,0.604245,0.115625,0.243522,0.604245,0.235590,0.021232,0.974088,0.487044,-0.881289
154,6.160,0.157216,0.371232,0.310947,0.924057,0.062946,0.310947,0.924057,0.385246,0.021527,1.243786,0.621893,-0.837635
155,6.200,0.919112,1.834743,1.018773,3.280660,0.821875,1.018773,3.280660,0.528292,0.032972,4.075092,2.037546,-0.379358
156,6.240,2.614988,5.385510,2.911422,7.641981,1.740625,2.911422,7.641981,1.452142,0.049655,11.645690,2.940187,0.846024
157,6.280,3.159397,7.205976,3.761237,7.222170,1.659821,3.761237,7.222170,2.872522,0.050493,15.044950,1.739436,1.396230
158,6.320,2.653450,7.534638,4.215495,3.990094,0.712054,3.990094,7.534638,2.821523,0.028424,15.960378,1.401497,1.544402
159,6.360,2.904837,8.065310,4.265468,3.687264,0.734375,3.687264,8.065310,2.604707,0.019918,14.749057,1.359052,1.348337
160,6.400,2.651467,8.105764,4.167636,4.661321,0.838839,4.167636,8.105764,3.261502,0.017619,16.670546,1.420896,1.659350
161,6.440,2.074147,6.086991,2.655209,7.081604,1.120982,2.655209,7.081604,2.336594,0.014844,10.620835,0.948611,0.680140
162,6.480,1.546590,6.210206,2.486779,14.922170,2.910714,2.910714,14.922170,1.625595,0.009261,11.642858,1.469246,0.845565
163,6.520,0.935567,7.467477,3.064780,19.694811,5.100000,5.100000,19.694811,3.436607,0.015944,20.400000,2.014933,2.263002
164,6.560,0.610428,6.106557,2.867266,14.806132,3.725000,3.725000,14.806132,3.909822,0.016322,14.900000,1.014098,1.372768
165,6.600,0.483743,3.318614,1.763088,6.077359,2.021429,2.021429,6.077359,2.190625,0.014647,8.085714,0.662715,0.269804
166,6.640,0.309477,3.508990,1.376256,2.671227,1.334375,1.376256,3.508990,0.992068,0.021297,5.505024,0.864838,-0.147909
167,6.680,0.681007,4.539133,1.982285,6.072170,2.658036,2.658036,6.072170,1.822321,0.020969,10.632143,1.888890,0.681970
