frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
80,3.200,5.159595,4.088577,8.404548,5.867453,12.979018,5.867453,12.979018,5.756939,0.628407,9.337024,1.058776,2.898575
81,3.240,5.159397,3.611845,6.771020,3.003774,11.663839,5.159397,11.663839,3.023394,1.091297,4.727766,1.175217,2.370178
82,3.280,4.363997,1.851930,6.937863,3.614623,8.804911,4.363997,8.804911,4.544211,1.196404,3.647595,1.153336,1.776599
83,3.320,2.811459,1.689318,4.286885,2.094811,7.441072,2.811459,7.441072,3.518041,0.619031,4.541708,0.697438,0.617995
84,3.360,1.982157,1.034109,3.419884,0.778302,6.258036,1.982157,6.258036,2.530928,0.500214,3.962622,0.655370,-0.000884
85,3.400,0.684179,0.452406,3.074299,0.734906,3.945536,0.734906,3.945536,0.733148,0.323136,2.274290,0.450299,-0.931664
86,3.440,0.589810,0.726335,2.829455,1.066981,3.691518,1.066981,3.691518,1.081132,0.351100,3.038965,1.176203,-0.683848
87,3.480,0.725615,0.983078,2.103384,1.491981,2.583929,1.491981,2.583929,0.794211,0.302200,4.937060,1.591155,-0.366685
88,3.520,0.606860,0.962454,1.703596,1.391038,4.675447,1.391038,4.675447,1.071226,0.291773,4.767528,1.491380,-0.442016
89,3.560,0.596154,1.051031,2.748281,1.099057,4.014286,1.099057,4.014286,1.350943,0.301938,3.640013,0.907498,-0.659911
90,3.600,0.720063,0.984400,3.111581,1.328774,3.658482,1.328774,3.658482,0.878774,0.161067,5.315094,1.191876,-0.488482
91,3.640,0.561063,0.951348,3.772871,1.536321,3.736607,1.536321,3.772871,1.193396,0.153941,6.145283,1.482814,-0.333596
92,3.680,0.281523,0.798255,3.991010,0.955660,3.196875,0.955660,3.991010,0.707075,0.187734,3.822642,1.005709,-0.766923
93,3.720,0.269231,0.725542,2.367530,1.291509,2.736161,1.291509,2.736161,0.796698,0.080066,5.166038,1.717691,-0.516291
94,3.760,0.290841,1.478583,2.203596,2.286793,3.454018,2.203596,3.454018,1.256132,0.038555,8.814384,2.146886,0.164368
95,3.800,0.855075,0.792173,1.767848,1.905189,3.438393,1.767848,3.438393,1.228451,0.052282,7.071391,1.423054,-0.160816
96,3.840,0.937153,3.593337,4.640402,4.481604,10.295982,4.481604,10.295982,2.259915,0.108785,17.926414,2.569457,1.864365
97,3.880,0.927240,4.223427,6.164728,4.115094,9.321875,4.223427,9.321875,4.057547,0.091773,16.893707,1.337064,1.671697
98,3.920,1.090801,3.463247,3.728979,1.482547,3.032143,3.032143,3.728979,2.065838,0.164532,12.128572,0.990349,0.782683
99,3.960,0.969072,3.348493,3.557377,2.627830,5.449553,3.348493,5.449553,2.402678,0.131954,13.393971,1.498705,1.018764
100,4.000,3.715900,3.361185,4.924643,2.536793,6.718304,3.715900,6.718304,2.458752,0.529984,7.011350,1.528727,1.292947
101,4.040,3.847542,2.705183,3.936806,1.549057,6.147321,3.847542,6.147321,5.405234,0.488062,7.883298,0.978522,1.391187
102,4.080,1.017447,1.218139,1.581438,1.065566,2.815179,1.218139,2.815179,1.691697,0.180000,4.872554,0.343286,-0.571045
103,4.120,0.943101,1.084876,2.125859,1.098585,3.651786,1.098585,3.651786,1.460745,0.226207,4.394340,0.696974,-0.660263
104,4.160,2.207772,0.812533,1.690111,0.925943,3.349554,1.690111,3.349554,0.875892,0.307964,5.488017,1.446618,-0.218828
105,4.200,1.535488,1.865415,2.526706,1.477830,2.892857,1.865415,2.892857,1.675568,0.382069,4.882404,1.462233,-0.088005
106,4.240,2.669707,2.150450,2.987044,2.082547,3.788393,2.669707,3.788393,2.676844,0.399294,6.686069,1.226771,0.512210
107,4.280,0.593378,1.104971,4.198308,1.003774,2.721429,1.104971,4.198308,1.413679,0.356141,3.102620,0.540259,-0.655498
108,4.320,0.484536,1.202010,5.341618,0.842925,4.031250,1.202010,5.341618,1.150978,0.252496,4.760511,0.937365,-0.583081
109,4.360,0.609040,1.211264,3.381280,0.616038,1.437500,1.211264,3.381280,0.688144,0.205205,4.845056,1.317219,-0.576175
110,4.400,1.256939,0.808038,2.746959,1.339623,5.692857,1.339623,5.692857,1.218139,0.434663,3.081977,1.405481,-0.480385
111,4.440,1.233743,0.887097,2.098096,1.406132,4.535714,1.406132,4.535714,1.927023,0.354401,3.967634,0.894156,-0.430752
112,4.480,1.073156,1.090957,1.759122,1.232075,4.217411,1.232075,4.217411,1.254245,0.338539,3.639395,0.774581,-0.560644
113,4.520,1.311063,1.110524,4.418033,3.539623,7.719643,3.539623,7.719643,1.262264,0.609475,5.807662,2.813121,1.161397
114,4.560,3.250198,1.497356,6.835801,4.446698,10.749107,4.446698,10.749107,3.676887,1.267767,3.507505,1.800592,1.838316
115,4.600,3.551943,1.952142,6.474617,4.491509,12.444197,4.491509,12.444197,5.050472,1.356667,3.310695,1.029294,1.871757
116,4.640,2.718081,1.537017,4.879429,2.079717,8.466517,2.718081,8.466517,3.927835,0.921658,2.949120,0.605477,0.548310
117,4.680,2.466297,1.234796,3.013221,1.103302,4.076786,2.466297,4.076786,3.878668,0.724614,3.403600,0.631857,0.360412
118,4.720,2.157415,1.667636,3.189582,1.805660,2.827232,2.157415,3.189582,3.050357,0.442184,4.878999,0.622718,0.129904
119,4.760,2.324544,1.446589,3.169223,1.667453,2.009375,2.009375,3.169223,2.708482,0.358506,5.604861,0.697840,0.019427
120,4.800,2.591197,1.308831,3.034638,1.185849,2.644643,2.591197,3.034638,2.192411,0.301330,8.599200,1.057439,0.453621
