frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
102,4.080,2.331086,5.447647,4.934426,12.708962,3.065625,4.934426,12.708962,3.338974,0.018522,19.737705,1.546468,3.209313
103,4.120,2.783109,6.118720,5.445796,7.126415,2.531250,5.445796,7.126415,3.621364,0.019343,21.783184,1.564808,3.681134
104,4.160,3.153648,7.569804,6.250397,10.048113,2.952232,6.250397,10.048113,3.873083,0.025435,25.001587,1.668007,4.423509
105,4.200,2.851507,7.093866,5.846642,7.636793,2.002232,5.846642,7.636793,4.401111,0.031708,23.386568,1.413223,4.050980
106,4.240,2.266059,5.423850,4.612374,4.086792,1.308929,4.086792,5.423850,3.770227,0.041773,16.347170,1.000275,2.427233
107,4.280,2.207772,4.804601,3.981756,3.808491,0.833482,3.808491,4.804601,3.153887,0.025534,15.233962,1.100066,2.170455
108,4.320,1.824742,4.221576,2.997092,2.364623,0.821429,2.364623,4.221576,2.014623,0.037603,9.458490,0.915011,0.838252
109,4.360,1.012887,3.090693,2.062930,3.530660,0.984375,2.062930,3.530660,2.087736,0.031708,8.251719,1.005728,0.559891
110,4.400,0.393339,1.613168,1.375727,2.068396,1.338393,1.375727,2.068396,1.396087,0.016453,5.502909,0.789780,-0.074164
111,4.440,0.131443,1.054469,0.842676,2.059434,0.907589,0.907589,2.059434,1.005804,0.012644,3.630357,0.755729,-0.506097
112,4.480,0.209952,1.854310,1.539133,6.160378,1.949554,1.854310,6.160378,0.836594,0.018374,7.417240,2.012931,0.367406
113,4.520,0.260706,2.447647,1.337123,9.250472,3.021875,2.447647,9.250472,1.460338,0.014828,9.790587,2.131231,0.914855
114,4.560,0.525178,2.279217,1.524326,9.616509,2.645089,2.279217,9.616509,2.491964,0.007094,9.116869,1.153362,0.759452
115,4.600,0.438739,0.615283,0.593337,1.226887,0.402679,0.593337,1.226887,0.821259,0.004877,2.373348,0.358163,-0.796046
116,4.640,0.202419,0.505024,0.305394,1.621698,0.524107,0.505024,1.621698,0.498017,0.003826,2.020095,0.765607,-0.877529
117,4.680,0.164948,1.488101,0.528821,5.823585,1.158036,1.158036,5.823585,0.650000,0.014417,4.632143,2.017453,-0.275020
118,4.720,0.227399,1.418297,0.447118,5.507547,1.235268,1.235268,5.507547,1.183482,0.029113,4.941072,1.347456,-0.203761
119,4.760,0.186757,0.756478,0.594130,1.986321,0.888839,0.756478,1.986321,0.885714,0.014992,3.025912,0.731180,-0.645522
120,4.800,0.120539,0.774458,0.476203,1.105189,0.229911,0.476203,1.105189,0.679270,0.022266,1.904812,0.608572,-0.904121
121,4.840,0.148890,0.998149,0.349286,2.418868,0.496875,0.496875,2.418868,0.388948,0.021806,1.987500,0.930288,-0.885048
122,4.880,0.162173,0.875198,0.473030,1.993868,0.473661,0.473661,1.993868,0.670089,0.027241,1.894643,0.894512,-0.906467
123,4.920,0.122125,1.016129,0.624802,1.886321,0.716518,0.716518,1.886321,0.584347,0.029458,2.866071,1.142374,-0.682392
124,4.960,0.159397,1.134585,0.486515,2.973585,1.214732,1.134585,2.973585,0.787943,0.033350,4.538340,1.653565,-0.296657
125,5.000,0.193894,0.994976,0.571126,3.453302,1.247768,0.994976,3.453302,1.388393,0.028079,3.979905,0.914359,-0.425469
126,5.040,0.250793,1.010576,0.641195,2.428302,0.829911,0.829911,2.428302,0.871429,0.031806,3.319643,0.734492,-0.577768
127,5.080,0.154044,1.010841,0.528027,4.130661,1.053571,1.010841,4.130661,0.947911,0.013957,4.043363,1.111217,-0.410831
128,5.120,0.169508,1.252776,0.567160,4.041510,1.706250,1.252776,4.041510,1.201339,0.015944,5.011105,1.165780,-0.187606
129,5.160,0.197859,1.366208,0.591750,3.452358,1.539286,1.366208,3.452358,1.445089,0.029376,5.464833,1.032492,-0.082947
130,5.200,0.219270,1.230301,0.595981,2.362736,1.083482,1.083482,2.362736,1.168304,0.023399,4.333929,0.829177,-0.343808
131,5.240,0.176646,2.347435,2.070069,1.933019,1.162054,1.933019,2.347435,0.850608,0.018128,7.732076,1.914912,0.440028
132,5.280,0.159397,3.410365,2.652565,2.116981,1.433036,2.116981,3.410365,2.331604,0.019573,8.467924,1.330509,0.609763
133,5.320,0.145718,4.322052,2.550767,2.037264,1.448214,2.037264,4.322052,1.643839,0.011067,8.149056,1.024924,0.536211
134,5.360,0.425853,2.952671,2.089635,3.232075,1.333929,2.089635,3.232075,1.377232,0.009409,8.358541,1.383373,0.584532
135,5.400,0.758525,4.752247,3.121100,8.814623,2.479464,3.121100,8.814623,1.988101,0.010213,12.484400,1.854853,1.536225
136,5.440,0.924465,4.832364,2.648863,10.457547,3.263393,3.263393,10.457547,2.668958,0.012299,13.053572,1.401482,1.667513
137,5.480,0.661578,2.458752,1.378900,5.674057,1.434821,1.434821,5.674057,1.828398,0.007077,5.739286,0.638073,-0.019640
138,5.520,0.311459,1.285034,1.078001,2.070283,1.011161,1.078001,2.070283,0.821226,0.007406,4.312004,0.813701,-0.348865
139,5.560,0.248216,1.235061,1.052882,4.795283,1.373214,1.235061,4.795283,1.042041,0.011346,4.940243,1.325693,-0.203952
140,5.600,0.401269,1.670280,1.511899,4.580189,0.956250,1.511899,4.580189,1.435748,0.008785,6.047594,1.220361,0.051476
141,5.640,0.607058,1.700952,1.465627,4.009434,0.888839,1.465627,4.009434,2.045479,0.013136,5.862506,0.842017,0.008783
142,5.680,0.895123,2.787414,1.586991,2.686321,0.462946,1.586991,2.787414,1.640402,0.011806,6.347964,0.861119,0.120761
143,5.720,1.419508,3.899524,2.434162,2.275000,0.479018,2.275000,3.899524,2.056319,0.023481,9.100000,1.230820,0.755561
144,5.760,1.376487,3.489688,2.205183,3.985377,0.669643,2.205183,3.985377,2.566509,0.025304,8.820730,0.954040,0.691143
145,5.800,1.082078,2.009783,1.143310,2.165094,0.349554,1.143310,2.165094,1.571126,0.028030,4.573242,0.552639,-0.288606
146,5.840,0.845757,1.594923,0.867266,3.000943,1.232143,1.232143,3.000943,1.220063,0.034696,4.928571,0.882880,-0.206644
